source,target,spearman,pval,weight
A,A,1.0,0.0,2.718281828459045
A,BBY,0.9107228550114288,5.254356162121392e-138,2.4861189875878176
AAL,AAL,1.0,0.0,2.718281828459045
AAL,ALK,0.946764404200581,2.4945668546561382e-176,2.5773568684183856
AAL,DAL,0.9748498540943024,6.9716069173959785e-233,2.6507691789627446
AAL,HBI,0.9119104311444524,5.4742119296162826e-139,2.489073196988419
AAL,HON,0.9086650071402728,2.457049427814547e-136,2.4810081933438695
AAL,HST,0.940035960019797,1.9179819487762217e-167,2.5600734769669597
AAL,HWM,0.9012054149982432,1.3425571980264361e-130,2.4625697412878753
AAL,LUV,0.9344777631211496,7.567820308802649e-161,2.545883556225106
AAL,NWL,0.923897074816936,9.322293718666808e-150,2.519088361637381
AAL,UAL,0.973087550279036,9.583815782787935e-228,2.646101832174748
AAL,URI,0.894854328801392,4.603364501448637e-126,2.446979309089556
AAL,VTRS,0.8910877046439968,1.649963826151891e-123,2.43777979414538
AAP,AAP,1.0,0.0,2.718281828459045
AAPL,AAPL,1.0,0.0,2.718281828459045
ABBV,ABBV,1.0,0.0,2.718281828459045
ABC,ABC,1.0,0.0,2.718281828459045
ABC,HSIC,0.9331819541064892,2.1550415028139516e-159,2.5425867138630163
ABC,HST,0.9037228933820288,1.7549311813048137e-132,2.4687770174435846
ABMD,ABMD,1.0,0.0,2.718281828459045
ABMD,ALK,0.9198372195190372,6.370593592068545e-146,2.508881959682887
ABMD,CCL,0.9100709993494114,1.7940147764563285e-137,2.4844989249301834
ABMD,RCL,0.9096209063449175,4.1657903324510836e-137,2.4833809209661557
ABMD,TMUS,0.898884346308153,6.610453237834053e-129,2.4568605760097055
ABT,ABT,1.0,0.0,2.718281828459045
ACN,ACN,1.0,0.0,2.718281828459045
ACN,AVGO,0.8919862058982249,4.137737445191307e-124,2.439971126658034
ADBE,ADBE,1.0,0.0,2.718281828459045
ADI,ADI,1.0,0.0,2.718281828459045
ADI,AVGO,0.8965699363551898,2.932385780854224e-127,2.4511809684449157
ADI,KLAC,0.9172274689681932,1.4572137914500785e-143,2.50234293992314
ADI,TEL,0.901439204252654,9.0188380499666e-131,2.4631455309357193
ADM,ADM,1.0,0.0,2.718281828459045
ADP,ADP,1.0,0.0,2.718281828459045
ADP,AOS,0.9361094393640872,1.0104655494587124e-162,2.5500410048237505
ADP,APH,0.8912482708482232,1.2897699533120979e-123,2.438171250620165
ADP,CDNS,0.926565160970674,2.14511386808304e-152,2.5258184806913735
ADP,CHD,0.8953647584693118,2.039195892759693e-126,2.4482286387460372
ADP,DPZ,0.9313825803321532,2.020198449267317e-157,2.5380157636683656
ADP,FAST,0.9631988885577656,4.5225912374498355e-204,2.6200643762469555
ADP,FFIV,0.9364612837526792,3.924957304958927e-163,2.550938380300983
ADP,IR,0.9306471428041954,1.2472803931873356e-156,2.5361498978271957
ADP,ITW,0.9411095511838028,8.632437250459087e-169,2.562823425126928
ADP,JCI,0.9309069718339676,6.571357454389482e-157,2.536808948811086
ADP,PG,0.8957114055158045,1.1702082420467727e-126,2.449077457084482
ADP,POOL,0.9230758285014696,5.783192998627735e-149,2.51702041886347
ADP,QCOM,0.9258493801488624,1.1190662186567816e-151,2.5240111951508446
ADP,SNPS,0.9000580350870446,9.325807303222248e-130,2.4597458585797405
ADP,STZ,0.929440007809071,2.3709017662733797e-155,2.5330902695963364
ADP,TSCO,0.9182975740557264,1.6055963744695089e-144,2.5050221430927073
ADP,TT,0.9287412613172832,1.2731656503945967e-154,2.531320899899499
ADP,VRSK,0.8972129868808894,1.0317118790186292e-127,2.4527577085627064
ADP,VRSN,0.9181081311650804,2.3777466937653665e-144,2.504547629404829
ADP,ZTS,0.9026705160859174,1.0912976714508141e-131,2.466180299164601
ADSK,ADSK,1.0,0.0,2.718281828459045
AEE,AEE,1.0,0.0,2.718281828459045
AEP,AEP,1.0,0.0,2.718281828459045
AES,AES,1.0,0.0,2.718281828459045
AFL,AFL,1.0,0.0,2.718281828459045
AIG,AIG,1.0,0.0,2.718281828459045
