source,target,spearman,pval,weight
A,A,1.0,0.0,2.718281828459045
A,BBY,0.8989097649385215,1.6291338898392544e-132,2.456923026834258
AAL,AAL,1.0,0.0,2.718281828459045
AAL,ALK,0.927663650556415,8.552565740457305e-158,2.528594590472571
AAL,DAL,0.9712168774087392,6.893901797907462e-229,2.641156468286443
AAL,HBI,0.916536788625014,6.150992570809673e-147,2.5006152175632606
AAL,HON,0.9077621722880465,2.1464783177976248e-139,2.478769263522278
AAL,HST,0.94056300936599,8.486698110512847e-173,2.5614231176515796
AAL,HWM,0.9022438228393594,4.991004065911688e-135,2.4651282211594054
AAL,LUV,0.9223035420672868,2.3154162554978438e-152,2.5150773085548637
AAL,NWL,0.9197060742158164,7.214372587180665e-150,2.50855295317184
AAL,UAL,0.9675985221489836,1.1338431116574196e-219,2.6316170947166944
AAP,AAP,1.0,0.0,2.718281828459045
AAPL,AAPL,1.0,0.0,2.718281828459045
ABBV,ABBV,1.0,0.0,2.718281828459045
ABC,ABC,1.0,0.0,2.718281828459045
ABC,HSIC,0.9297154206856452,5.506286154862285e-160,2.53378801135323
ABC,HST,0.9005887448809372,9.061577904786754e-134,2.4610516162559213
ABMD,ABMD,1.0,0.0,2.718281828459045
ABMD,ALK,0.9136660479357764,2.2118917362869743e-144,2.4934468938323158
ABT,ABT,1.0,0.0,2.718281828459045
ACN,ACN,1.0,0.0,2.718281828459045
ACN,AVGO,0.8982481290623787,5.0161562106885335e-132,2.455297976070008
ADBE,ADBE,1.0,0.0,2.718281828459045
ADI,ADI,1.0,0.0,2.718281828459045
ADI,KLAC,0.905110756630839,2.9046957200369668e-137,2.4722057210711257
ADI,TEL,0.8982003837987196,5.4385866317796535e-132,2.455180750019296
ADM,ADM,1.0,0.0,2.718281828459045
ADP,ADP,1.0,0.0,2.718281828459045
ADP,AOS,0.9388652666479508,1.2201612765314311e-170,2.5570781695513993
ADP,CDNS,0.9303771253323664,1.0470723508931858e-160,2.535465185489912
ADP,CHD,0.9033354794887646,7.167698807153257e-136,2.467820764172517
ADP,DPZ,0.9363866778308486,1.3420818213297058e-167,2.550748072290728
